,key,name,description,id
0,ckng,浴血之刃,"[史詩]
- 神話傳說 武器 (近戰) -
放棄吧，愚蠢的人類.
∴攻擊力+4500
∴力量 +420
∴技能傷害 +5%
∴持續傷害+15%
∴每14次攻擊觸發血之釋放
▣ 等級.100",687
1,modt,龍翼,"[史詩]
- 傳奇至寶 翅膀 -
充滿了龍的神祕氣息
∴智力 +130
∴生命值 +600
∴技能傷害 +6%
∴點擊使用 創建一個到達普瑞斯都城的傳送
▣ 等級.70",633
2,tkno,王道無極寒冰弓,"[史詩]
- 禁斷聖物 武器 (弓箭) -
充滿冰霜靈魂的神器！
∴攻擊力+8400
∴力量 +345, 敏捷 +605
∴技能傷害 +9%
∴冰屬性/水屬性+9%
∴攻擊時幾率 釋放冰霜風暴
▣ 等級.100",693
3,ratf,瘟疫法杖,"[史詩]
- 冥靈傳世 武器 (法杖) -
所到之處皆是瘟疫 ..
∴攻擊力+6750
∴智力 +744
∴攻擊速度 +35%
∴技能傷害 & 持續傷害+10%
∴點擊使用 觸發瘟疫領域
▣ 等級.100",712
4,rde4,赤紅·南瓜權杖,"[史詩]
- 神話傳說 武器 (法杖) -
哈哈哈哈哈哈
∴攻擊力+3800
∴智力 +460
∴技能傷害 +5%
∴每當釋放技能 4秒 智力 15, 火焰傷害 1.5%提升 (5次疊加)
∴點擊使用 扔出赤紅南瓜彈
▣ 等級.100",587
5,ofro,伯爵的披風,"[史詩]
- 傳奇至寶 翅膀 -
接受黑暗能源, 成爲今夜的統治者 !
∴力量 +140
∴敏捷 +130
∴閃避率 +10%
∴每當釋放技能 下一次攻擊授予暗屬性效果
▣ 等級.70",632
6,desc,Teleport Dagger,,-1
7,fgdg,魔力糖果,"[糖果]
魔力糖果
∴30分鐘持續時間 智力 +15",-1
8,infs,怨魔力量結晶,"[收藏品]
改變揹包的外觀.",300
9,shar,冰龍力量結晶,"[收藏品]
改變揹包的外觀.",291
10,sand,死亡騎士力量結晶,"[收藏品]
改變揹包的外觀.",58
11,wild,蘋果味糖果,"[糖果]
紅色的力量糖果
∴15分鐘持續時間力量屬性20提升
∴生命值40% 恢復",-1
