,key,name,description,id
0,ckng,浴血之刃,"[史诗]
- 神话传说 武器 (近战) -
放弃吧，愚蠢的人类.
∴攻击力+4500
∴力量 +420
∴技能伤害 +5%
∴持续伤害+15%
∴每14次攻击触发血之释放
▣ 等级.100",687
1,modt,龙翼,"[史诗]
- 传奇至宝 翅膀 -
充满了龙的神秘气息
∴智力 +130
∴生命值 +600
∴技能伤害 +6%
∴点击使用 创建一个到达普瑞斯都城的传送
▣ 等级.70",633
2,tkno,王道无极寒冰弓,"[史诗]
- 禁断圣物 武器 (弓箭) -
充满冰霜灵魂的神器！
∴攻击力+8400
∴力量 +345, 敏捷 +605
∴技能伤害 +9%
∴冰属性/水属性+9%
∴攻击时几率 释放冰霜风暴
▣ 等级.100",693
3,ratf,瘟疫法杖,"[史诗]
- 冥灵传世 武器 (法杖) -
所到之处皆是瘟疫 ..
∴攻击力+6750
∴智力 +744
∴攻击速度 +35%
∴技能伤害 & 持续伤害+10%
∴点击使用 触发瘟疫领域
▣ 等级.100",712
4,rde4,赤红·南瓜权杖,"[史诗]
- 神话传说 武器 (法杖) -
哈哈哈哈哈哈
∴攻击力+3800
∴智力 +460
∴技能伤害 +5%
∴每当释放技能 4秒 智力 15, 火焰伤害 1.5%提升 (5次叠加)
∴点击使用 扔出赤红南瓜弹
▣ 等级.100",587
5,ofro,伯爵的披风,"[史诗]
- 传奇至宝 翅膀 -
接受黑暗能源, 成为今夜的统治者 !
∴力量 +140
∴敏捷 +130
∴闪避率 +10%
∴每当释放技能 下一次攻击授予暗属性效果
▣ 等级.70",632
6,desc,Teleport Dagger,,-1
7,fgdg,魔力糖果,"[糖果]
魔力糖果
∴30分钟持续时间 智力 +15",-1
8,infs,怨魔力量结晶,"[收藏品]
改变背包的外观.",300
9,shar,冰龙力量结晶,"[收藏品]
改变背包的外观.",291
10,sand,死亡骑士力量结晶,"[收藏品]
改变背包的外观.",58
11,wild,苹果味糖果,"[糖果]
红色的力量糖果
∴15分钟持续时间力量属性20提升
∴生命值40% 恢复",-1
12,srrc,神奇号角,"[召唤类物品]
我感受到了不羁跳动的魔力... 我应该吹响它??
◎点击使用 召唤野外BOSS
◎只能在海滩上使用",391
13,odef,生命咏叹·自然之力,"[史诗]
- 神话传说 武器 (通用) -
被古代的精灵们所控制的强力武器
∴攻击力+4500
∴全属性 +380
∴攻击速度 +15%
∴技能伤害 +5%
∴攻击时激活元素气息
▣ 等级.100",219
14,rde3,噩梦战盔,"[史诗]
- 禁断圣物 头盔 -
你会看到死亡 ..
∴护甲 +105
∴敏捷 +185
∴生命值 +900
∴技能伤害 & 致命一击概率 +7.5%
∴攻击时几率触发死亡凝视
▣ 等级.100",706
15,pmna,虾壳剑,"[魔力]
- 武器 (近战) -
∴攻击力+400
∴护甲 +15
∴力量 +30
∴敏捷 +40
∴攻击时几率造成溅射伤害
▣ 等级.30",29
16,rhth,冬之泪·冰怨战矛,"[史诗]
- 神话传说 武器 (近战) -
靠近它，你仿佛能听到怨灵的声音
∴攻击力+4050
∴力量 +375
∴致命一击倍率 +0.15x
∴攻击时几率 概率触发冰霜打击
▣ 等级.90",596
17,ssil,雪人项链,"[魔力]
- 首饰 -
∴智力 +30
∴生命值 +500
∴点击使用 召唤雪人
▣ 等级.40",46
